movie_category,movie_name,movie_rating,movie_release_year,movie_url
Comedy,Paddington in Peru,6.8,2024,https://yts.mx/movies/paddington-in-peru-2024
Comedy,Out of Darkness,8.8,2016,https://yts.mx/movies/out-of-darkness-2016
Comedy,Caligula: The Ultimate Cut,6.4,2023,https://yts.mx/movies/caligula-the-ultimate-cut-2023
Comedy,Seed: The Untold Story,7.7,2016,https://yts.mx/movies/seed-the-untold-story-2016
Comedy,Stolen Virginity,3.0,2016,https://yts.mx/movies/stolen-virginity-2016
Comedy,No Regrets,5.6,2016,https://yts.mx/movies/no-regrets-2016
Comedy,How to Build a Human,7.8,2016,https://yts.mx/movies/how-to-build-a-human-2016
Comedy,Halloweed,3.6,2016,https://yts.mx/movies/halloweed-2016
Comedy,Love and Deceit,6.4,2016,https://yts.mx/movies/love-and-deceit-2016
Comedy,My Art,4.3,2016,https://yts.mx/movies/my-art-2016
Comedy,Fashionista,5.4,2016,https://yts.mx/movies/fashionista-2016
Comedy,We Beat the Dream Team,7.0,2025,https://yts.mx/movies/we-beat-the-dream-team-2025
Comedy,Rosebud Baker: The Mother Lode,,2025,https://yts.mx/movies/rosebud-baker-the-mother-lode-2025
Comedy, Seeing the Beginning of Time,7.3,2017,https://yts.mx/movies/seeing-the-beginning-of-time-2017
Comedy, Bleach: Memories of Nobody,7.1,2006,https://yts.mx/movies/bleach-memories-of-nobody-2006
Comedy,The Deadly Companions,6.1,1961,https://yts.mx/movies/the-deadly-companions-1961
Comedy,Troma's War,5.5,1988,https://yts.mx/movies/tromas-war-1988
Drama,Born Bad,4.4,2011,https://yts.mx/movies/born-bad-2011
Drama,Return to Office,7.3,2025,https://yts.mx/movies/return-to-office-2025
Drama,Spider-Man 2,7.5,2004,https://yts.mx/movies/spider-man-2-2004
Drama, Ils sont fous ces sorciers,4.3,1978,https://yts.mx/movies/ils-sont-fous-ces-sorciers-1978
Drama,Prism,5.6,2017,https://yts.mx/movies/prism-2017
Drama, Partly Cloudy with Sunny Spells,5.3,2015,https://yts.mx/movies/partly-cloudy-with-sunny-spells-2015
Drama,Tooth Fairy Queen of Pain,3.0,2022,https://yts.mx/movies/tooth-fairy-queen-of-pain-2022
Drama, An Abandoned Team,7.5,2024,https://yts.mx/movies/an-abandoned-team-2024
Drama, All Is Well,6.4,2018,https://yts.mx/movies/all-is-well-2018
Drama,Outside the Law,6.3,1956,https://yts.mx/movies/outside-the-law-1956
Drama,Jaws vs. the Blob,5.9,2022,https://yts.mx/movies/jaws-vs-the-blob-2022
Drama,The Drop Spot,5.3,2022,https://yts.mx/movies/the-drop-spot-2022
Drama, Mother Schmuckers,4.9,2021,https://yts.mx/movies/mother-schmuckers-2021
Drama,The Love We Had,5.5,2022,https://yts.mx/movies/the-love-we-had-2022
Drama,The Foreign Exchange Student 2: The Hunt,2.7,2022,https://yts.mx/movies/the-foreign-exchange-student-2-the-hunt-2022
Drama,The Ring Widow,7.4,2022,https://yts.mx/movies/the-ring-widow-2022
Drama,Hunt Vs Lauda: The Next Generation,6.3,2022,https://yts.mx/movies/hunt-vs-lauda-the-next-generation-2022
Drama,The Gorge,,2025,https://yts.mx/movies/the-gorge-2025
Drama,Love and the Radio Star,5.9,2022,https://yts.mx/movies/love-and-the-radio-star-2022
Drama,Jack & Jill: The Hills of Hell,2.9,2022,https://yts.mx/movies/jack-jill-the-hills-of-hell-2022
Drama,Kissing Candice,5.2,2017,https://yts.mx/movies/kissing-candice-2017
Drama,Shifting Gears,5.0,2018,https://yts.mx/movies/shifting-gears-2018
Drama, Umami,5.8,2025,https://yts.mx/movies/umami-2025
Drama,Her Little Secret,6.9,2017,https://yts.mx/movies/her-little-secret-2017
Drama,It's A Party,5.8,2018,https://yts.mx/movies/its-a-party-2018
Drama,Sunday Morning Rapture,6.0,2017,https://yts.mx/movies/sunday-morning-rapture-2017
Drama,Cavemen,5.3,2013,https://yts.mx/movies/cavemen-2013
Drama,Broken Memories,6.6,2017,https://yts.mx/movies/broken-memories-2017
Drama,The Witcher: Sirens of the Deep,6.1,2025,https://yts.mx/movies/the-witcher-sirens-of-the-deep-2025
