,movie_category,movie_name,movie_rating,movie_release_year,movie_url
639,Biography, Let Her Kill You,3.3,2023,https://yts.mx/movies/let-her-kill-you-2023
640,Crime,Deciphering the Zodiac Killer,7.2,2023,https://yts.mx/movies/deciphering-the-zodiac-killer-2023
641,Crime,Heart of the Manor,5.7,2021,https://yts.mx/movies/heart-of-the-manor-2021
642,Crime, Malu de Bicicleta,6.3,2010,https://yts.mx/movies/malu-de-bicicleta-2010
643,Crime,Handshake,7.3,2021,https://yts.mx/movies/handshake-2021
644,Crime, Smugglarkungen,4.8,1985,https://yts.mx/movies/smugglarkungen-1985
645,Crime,The Grifters,6.9,1990,https://yts.mx/movies/the-grifters-1990
646,Crime,Christmas Time Is Here,5.4,2021,https://yts.mx/movies/christmas-time-is-here-2021
647,Crime,The Wish Swap,7.8,2025,https://yts.mx/movies/the-wish-swap-2025
648,Crime, So Normal 2: The Craziest Night Ever,5.8,2009,https://yts.mx/movies/so-normal-2-the-craziest-night-ever-2009
649,Crime,Halloween Kickback,5.9,2021,https://yts.mx/movies/halloween-kickback-2021
650,Crime,The Sinister Surrogate,4.7,2018,https://yts.mx/movies/the-sinister-surrogate-2018
651,Crime,A Podcast to Die For,4.6,2023,https://yts.mx/movies/a-podcast-to-die-for-2023
652,Crime,Old Flames Never Die,5.2,2022,https://yts.mx/movies/old-flames-never-die-2022
653,Crime,My Husband's Killer Girlfriend,5.8,2021,https://yts.mx/movies/my-husbands-killer-girlfriend-2021
654,Crime,I Thought My Husband's Wife Was Dead,6.1,2024,https://yts.mx/movies/i-thought-my-husbands-wife-was-dead-2024
655,Crime,Picture Perfect Lies,5.4,2021,https://yts.mx/movies/picture-perfect-lies-2021
656,Crime,Murder at the Country Club,4.8,2023,https://yts.mx/movies/murder-at-the-country-club-2023
657,Crime,Dying to be a Cheerleader,5.0,2020,https://yts.mx/movies/dying-to-be-a-cheerleader-2020
658,Crime,Amish Affair,5.9,2024,https://yts.mx/movies/amish-affair-2024
659,Crime, Lek,6.2,2023,https://yts.mx/movies/lek-2023
660,Drama,The Graduates,6.9,2023,https://yts.mx/movies/the-graduates-2023
661,Drama,Melanie's Grave,6.2,2024,https://yts.mx/movies/melanies-grave-2024
662,Drama,The Last Video Store,4.4,2023,https://yts.mx/movies/the-last-video-store-2023
663,Drama,Clueless,6.9,1995,https://yts.mx/movies/clueless-1995
664,Drama,The Lost Patrol,6.8,1934,https://yts.mx/movies/the-lost-patrol-1934
665,Drama,Child Star,6.6,2024,https://yts.mx/movies/child-star-2024
667,Drama, Deux femmes,6.6,2022,https://yts.mx/movies/deux-femmes-2022
668,Drama,Meurtres à Nancy,6.7,2022,https://yts.mx/movies/meurtres-a-nancy-2022
669,Drama,Sea of Love,6.8,1989,https://yts.mx/movies/sea-of-love-1989
670,Drama,The Rachel Papers,6.0,1989,https://yts.mx/movies/the-rachel-papers-1989
671,Drama,She Taught Love,5.2,2024,https://yts.mx/movies/she-taught-love-2024
672,Drama, Waiting for Heaven,6.6,2006,https://yts.mx/movies/waiting-for-heaven-2006
673,Drama, Letters to Santa 4,5.1,2021,https://yts.mx/movies/letters-to-santa-4-2021
674,Drama,Breathing In,5.5,2023,https://yts.mx/movies/breathing-in-2023
675,Drama,The Great Turkey Town Miracle,6.3,2023,https://yts.mx/movies/the-great-turkey-town-miracle-2023
676,Drama,Anne of Green Gables: Fire and Dew,6.6,2017,https://yts.mx/movies/anne-of-green-gables-fire-and-dew-2017
677,Drama,The Best Version of Love,5.9,2023,https://yts.mx/movies/the-best-version-of-love-2023
679,Drama, Infested,6.2,2023,https://yts.mx/movies/infested-2023
680,Biography,Daytime Revolution,7.0,2024,https://yts.mx/movies/daytime-revolution-2024
681,Biography, Bogota: City of the Lost,5.5,2024,https://yts.mx/movies/bogota-city-of-the-lost-2024
682,Biography,This Is 40,6.2,2012,https://yts.mx/movies/this-is-40-2012
683,Biography,Heavenly Bodies,5.3,1984,https://yts.mx/movies/heavenly-bodies-1984
684,Biography,Abundant Acreage Available,5.8,2017,https://yts.mx/movies/abundant-acreage-available-2017
685,Biography,Can You Feel the Beat: The Lisa Lisa Story,7.8,2025,https://yts.mx/movies/can-you-feel-the-beat-the-lisa-lisa-story-2025
687,Biography,Addiction by Subtraction,3.2,2016,https://yts.mx/movies/addiction-by-subtraction-2016
688,Biography,The Lost City of Z,6.6,2016,https://yts.mx/movies/the-lost-city-of-z-2016
689,Biography, The Calendar Killer,5.5,2024,https://yts.mx/movies/the-calendar-killer-2024
690,Biography,After Louie,6.0,2017,https://yts.mx/movies/after-louie-2017
691,Biography,Walt Disney Animation Studios Short Films Collection,7.6,2015,https://yts.mx/movies/walt-disney-animation-studios-short-films-collection-2015
692,Biography, Death Whisperer 2,7.1,2024,https://yts.mx/movies/death-whisperer-2-2024
693,Biography,I Am Alive: Surviving the Andes Plane Crash,8.3,2010,https://yts.mx/movies/i-am-alive-surviving-the-andes-plane-crash-2010
694,Biography, Gamera vs. Gyaos,5.1,1967,https://yts.mx/movies/gamera-vs-gyaos-1967
695,Biography, The Apartment with Two Women,6.6,2021,https://yts.mx/movies/the-apartment-with-two-women-2021
696,Biography, Pocket Hercules: Naim Süleymanoglu,8.2,2019,https://yts.mx/movies/pocket-hercules-naim-suleymanoglu-2019
697,Biography,Wish You Were Here,7.3,2025,https://yts.mx/movies/wish-you-were-here-2025
698,Biography,The Road to Guantanamo,7.4,2006,https://yts.mx/movies/the-road-to-guantanamo-2006
699,Biography,Bigga Than Ben,6.2,2008,https://yts.mx/movies/bigga-than-ben-2008
700,Adventure,The Tall Target,7.2,1951,https://yts.mx/movies/the-tall-target-1951
701,Adventure,Curse of Crom: The Legend of Halloween,5.6,2022,https://yts.mx/movies/curse-of-crom-the-legend-of-halloween-2022
702,Adventure,Lemonade Stand Romance,5.9,2022,https://yts.mx/movies/lemonade-stand-romance-2022
703,Adventure, Simon of the Desert,7.8,1965,https://yts.mx/movies/simon-of-the-desert-1965
704,Adventure,Christmas with the Carters,5.6,2022,https://yts.mx/movies/christmas-with-the-carters-2022
705,Adventure,Because We're Family,6.0,2022,https://yts.mx/movies/because-were-family-2022
706,Adventure,For the Love of Christmas,6.0,2022,https://yts.mx/movies/for-the-love-of-christmas-2022
707,Adventure,Barrio Boy,5.8,2022,https://yts.mx/movies/barrio-boy-2022
708,Adventure,Cat Daddies,7.2,2022,https://yts.mx/movies/cat-daddies-2022
709,Adventure,Blind Trust,6.7,2022,https://yts.mx/movies/blind-trust-2022
710,Adventure,Love's Secret Ingredient,5.3,2023,https://yts.mx/movies/loves-secret-ingredient-2023
711,Adventure, Para: dies,6.7,2022,https://yts.mx/movies/para-dies-2022
